name,pagerank,community
Balman-Byrch,0.0005768812402350762,0
Balon-Greyjoy,0.0023003309715522876,16
Balon-Swann,0.0021347841956404724,0
Bannen,0.0004654461673549022,9
Barbrey-Dustin,0.0010796617150313523,12
Barristan-Selmy,0.006118530880687604,6
Barsena,0.00034034262685694666,6
Bartimus,0.00034516676930186515,5
Bedwyck,0.0008633814081029418,9
Belaquo,0.0008350370016760929,48
Belwas,0.002041004356442668,6
Ben-Bones,0.0004895695380872467,12
Ben-Plumm,0.001523782340755487,6
Benedar-Belmore,0.0009565748655440723,31
Benerro,0.0007972940109173727,0
Benethon-Scales,0.0004989623996958533,49
Benfred-Tallhart,0.0009136726570754526,12
Benjen-Stark,0.0021686796247822773,9
Beric-Dondarrion,0.0025274970799765146,11
Beth-Cassel,0.0006005153540801746,3
Big-Boil,0.0004846051648597013,9
Biter,0.0008621401855977581,11
Black-Balaq,0.00042768822529143494,53
Blane,0.0003200395161090086,9
Bloodbeard,0.0008009018742385426,6
Blue-Bard,0.0008618649506457753,1
Bonifer-Hasty,0.00031858228379784973,0
Boros-Blount,0.0018177012077502574,0
Bowen-Marsh,0.0026452583030083417,9
Bran-Stark,0.00837509824063344,3
Brandon-Norrey,0.0007675712055982895,54
Brandon-Stark,0.0012850571024032105,0
Brea,0.000790890659276886,40
Brella,0.0004297105043255107,0
Brenett,0.00031525226228986,0
Brienne-of-Tarth,0.007060297905743843,0
Bronn,0.003550475379537583,0
Brus-Buckler,0.0006757842038780292,49
Bryce-Caron,0.0011677135307679714,58
Brynden-Rivers,0.00045691307566036484,3
Brynden-Tully,0.0027095086783990433,2
Bump,0.00043051847449174,60
Butterbumps,0.00042711396361093406,0
Byam-Flint,0.0003315224038864977,9
Caggo,0.001238221564686633,27
Caleotte,0.000703443140891139,30
Camarron,0.00037835530728017866,62
Captain-Myraham,0.000343464286782951,12
Captain-Myraham-Daughter,0.000343464286782951,12
Catelyn-Stark,0.011189122167683955,0
Cayn,0.0005798497950569952,0
Cedra,0.0005025656077750519,30
Cedric-Payne,0.0003369875986474357,64
Cellador,0.0007218903028978972,9
Cersei-Lannister,0.013364951066871257,0
Chataya,0.0003163926681133336,0
Chayle,0.0004891790614005754,3
Chella,0.0005543890254604226,0
Chett,0.0011931779751053035,9
Chiggen,0.0005754651313214291,0
Chiswyck,0.0016411149165318564,0
Clayton-Suggs,0.0006509112202718168,16
Clement-Piper,0.0004827618753166929,2
Cleon,0.0007324054435133661,6
Cleos-Frey,0.0010830563090263167,0
Cletus-Yronwood,0.0010775009523038327,27
Cley-Cerwyn,0.0005968887997335663,3
Clubfoot-Karl,0.00046626073734197586,9
Clydas,0.0011526189058338196,9
Cohollo,0.0007843232118416507,6
Coldhands,0.000718536138037222,3
Colemon,0.0010216894462258394,63
Colen-of-Greenpools,0.0004392249042625212,0
Conn,0.0008864541298394825,68
Corliss-Penny,0.00031880996492076853,5
Cortnay-Penrose,0.0011838085726570936,5
Cotter-Pyke,0.0014998038549908256,9
Craster,0.0025249445793609007,9
Creighton-Longbough,0.0007823938177804712,57
Cressen,0.001426864422090611,5
Cromm,0.0006363656383787867,44
Cutjack,0.0012470504146382564,69
Daario-Naharis,0.0030173992550085052,6
Dacey-Mormont,0.0005908888416903632,2
Daemon-Sand,0.0004322479265457585,30
Daenerys-Targaryen,0.013045565121720153,6
Daeron-I-Targaryen,0.00032773525385446247,73
Dagmer,0.0010182364240686286,16
Dalbridge,0.0006530028146288241,9
Dalla,0.0009868057678198928,9
Damon-Dance-for-Me,0.0010681872068048295,74
Danwell-Frey,0.0007634776885997841,13
Dareon,0.0011720136922151348,9
Daryn-Hornwood,0.0005084475244165718,2
Daven-Lannister,0.0005811463366455016,2
Davos-Seaworth,0.0060846004966010675,5
Denyo-Terys,0.0005644350886026587,11
Denys-Mallister,0.0013477867508614359,9
Denzo-Dhan,0.0003856583898937561,76
Desmond,0.0004564875513974293,11
Desmond-Grell,0.0007320247472824806,2
Devan-Seaworth,0.0010216162494709159,5
Dick-Crabb,0.0010340588841880882,0
Dick-Follard,0.0004697187208492615,9
Dick-Straw,0.0008432269504437978,78
Dirk,0.00046626073734197586,9
Dolf,0.0003848400904485798,80
Donal-Noye,0.0013272150065497777,9
Donella-Hornwood,0.0012467866466612703,3
Dontos-Hollard,0.0013285462367923792,0
Doran-Martell,0.003047772713189447,30
Dorcas,0.0009065092955876452,0
Doreah,0.0009926523880876784,6
Draqaz,0.00044896734063125377,81
Drennan,0.0005714573411312043,43
Drogo,0.0035131529231883243,6
Dryn,0.0003419871532728444,9
Dunsen,0.0016411149165321515,0
Dunstan-Drumm,0.0008456074274219229,15
Dywen,0.0013389705679377327,9
Ebben,0.0008326709698363999,9
Eddard-Stark,0.011486312686319016,0
Eddison-Tollett,0.003002131691874492,9
Edmure-Tully,0.003388502026716728,2
Edric-Storm,0.0011271613843362909,5
Edwyn-Frey,0.0007216942881628854,2
Elder-Brother,0.0006851939007474911,0
Eldon-Estermont,0.0008565626468636695,59
Elia-Martell,0.001457433524835214,0
Elinor-Tyrell,0.0008543675602531868,22
Ellaria-Sand,0.0009718824884014387,30
Elmar-Frey,0.001325495049797042,0
Emmett,0.0009077910996027337,9
Emmon-Cuy,0.0006228871767884022,0
Emmon-Frey,0.001330345326304988,2
Emrick,0.0006720402512015912,36
Eon-Hunter,0.0005741258273234234,0
Errok,0.0006666803250017571,84
Euron-Greyjoy,0.0031482399017127307,15
Falyse-Stokeworth,0.0007087403091264378,0
Farlen,0.000343464286782951,12
Florian-the-Fool,0.0007265435920394078,85
Fogo,0.0004684885104303003,86
Franklyn-Flowers,0.0008443976973013645,8
Frenya,0.0005252683019199877,12
Fulk,0.00047119707051532955,9
Galazza-Galare,0.0010834631094269681,6
Galbart-Glover,0.0012825343930648497,2
Galyeon-of-Cuy,0.0003163926681133336,0
Gared,0.0008409462857054077,51
Garin-(orphan),0.0016051414181205187,30
Gariss,0.00105114196701602,20
Garlan-Tyrell,0.0011688316450931416,0
Garrett-Paege,0.00031858228379784973,0
Garth-(Wolfs-Den),0.0005128649448841932,5
Garth-Greyfeather,0.0006908772655567861,52
Gawen-Westerling,0.00051212033786022,5
Gendel,0.0005741047446576893,88
Gendry,0.0032375018447734745,11
Genna-Lannister,0.000576447161359409,2
Gerold-Dayne,0.0008658437306224069,30
Gerold-Grafton,0.0004657816122951076,89
Gerold-Hightower,0.0015265495879460847,17
Gerrick-Kingsblood,0.0007675712055982895,91
Gerris-Drinkwater,0.0017390941101532939,27
Gilly,0.0021976021754486095,9
Gilwood-Hunter,0.0009569897091626201,31
Godry-Farring,0.001261867313417947,16
Goghor-the-Giant,0.0008717308877569404,48
Gormon-Tyrell,0.00060009515950771,93
Gorne,0.0005741047446574451,88
Gorold-Goodbrother,0.0006301310590266166,14
Grazdan-mo-Eraz,0.00038900636789913657,94
Grazhar,0.0006663160005847,47
Greenbeard,0.001123355212485131,11
Gregor-Clegane,0.004143421222699309,0
Grenn,0.0022458432531865867,9
Gretchel,0.0007395399292106654,63
Grey-Worm,0.0012619433940900093,6
Grigg,0.0006651902236271136,84
Grimtongue,0.0010754995928798142,44
Grisel,0.0003065865179007871,0
Groleo,0.001024185078383312,6
Grunt,0.0007036288277514037,74
Guncer-Sunglass,0.0004762915738230605,5
Gunthor-son-of-Gurn,0.0003163926681133336,0
Guyard-Morrigen,0.0005109261532592508,58
Gyles-Grafton,0.0006036982290088206,90
Gyles-Rosby,0.002327222016752595,0
Gynir,0.0007134486511433992,18
Hagen,0.0015485630388434128,44
Haggo,0.0010787998814211959,6
Haggon,0.00043051847449174,60
Hairy-Hal,0.0006908772655564813,52
Hake,0.0003301102281782752,9
Halder,0.0013101843567020638,9
Haldon,0.0018073011427956996,7
Hallis-Mollen,0.0010237379190623744,2
Hallyne,0.00042561775687419764,0
Halys-Hornwood,0.0003136630282699079,3
Hareth-(Moles-Town),0.0019874818501706636,9
Harl,0.0004067899225820074,95
Harma,0.001441137928321273,9
Harras-Harlaw,0.0004098605049369922,15
Harren-Hoare,0.0006341034386852716,0
Harrold-Hardyng,0.0006262825797019876,31
Harry-Strickland,0.0007089911123057279,7
Harwin,0.0016266719103981326,11
Harwood-Stout,0.000343464286782951,12
Harys-Swyft,0.0012526444851254017,0
Helman-Tallhart,0.0007681453517122792,12
Hero,0.0007513096141559839,6
Heward,0.00047540105215298335,0
High-Septon-(fat_one),0.0005575551323248661,0
High-Septon-(Tyrions),0.0006591681343722583,0
High-Sparrow,0.0012077998524429121,0
Hizdahr-zo-Loraq,0.0037197737645301545,6
Hobb,0.0016382054222496224,9
Hobber-Redwyne,0.0004930736805924169,96
Hodor,0.001659022795436955,3
Holly,0.0008555483065289588,12
Hop-Robin,0.000638012858077759,9
Horas-Redwyne,0.0007167799283208208,96
Horton-Redfort,0.0008136719406876912,31
Hosteen-Frey,0.0009693499125745298,13
Hoster-Blackwood,0.00031858228379784973,0
Hoster-Tully,0.001475205546640295,2
Hot-Pie,0.0018591756247729832,11
Hother-Umber,0.0007906510797936688,5
Hotho-Harlaw,0.0011024101405276078,42
Hugh,0.00032213416096403693,0
Hugo-Vance,0.00031858228379784973,0
Hullen,0.0009438215676744859,3
Humfrey-Hewett,0.0006157069600486107,15
Husband,0.0004597204108426085,11
Hyle-Hunt,0.0011280381260550484,0
Illyrio-Mopatis,0.001812967374672998,6
Ilyn-Payne,0.0027473847359305546,0
Irri,0.0022538885106512083,6
Jacelyn-Bywater,0.0012301804667177174,0
Jack-Be-Lucky,0.0003238642131302451,11
Jack-Bulwer,0.0009706969341444463,52
Jaehaerys-I-Targaryen,0.00033865598866788935,97
Jafer-Flowers,0.00036995509086337427,98
Jaime-Lannister,0.015463702761076918,0
Jalabhar-Xho,0.0008570949549026978,1
Janos-Slynt,0.0031318375300935,9
Jaqen-Hghar,0.0009958780833560744,11
Jared-Frey,0.0008557285714404631,13
Jaremy-Rykker,0.0010677228223960479,9
Jarl,0.0013758798748149542,9
Jarman-Buckwell,0.0006215911608003987,9
Jason-Mallister,0.0006314727314143852,2
Jeor-Mormont,0.004334970048801535,9
Jeyne-Farman,0.00039997256617202393,100
Jeyne-Poole,0.0019657626646572973,12
Jeyne-Westerling,0.000917529124832183,2
Jhiqui,0.0018346715077724191,6
Jhogo,0.0018477908774957575,6
Joanna-Lannister,0.00030495789769839724,0
Jocelyn-Swyft,0.0007803751941197897,0
Joffrey-Baratheon,0.008866507205317077,0
Jojen-Reed,0.0015519145306244367,3
Jommo,0.0006106875573213298,82
Jon-Arryn,0.0026738389981592107,0
Jon-Connington,0.00277552367006763,7
Jon-Fossoway,0.0003321982858486253,102
Jon-Snow,0.019000181119916883,9
Jon-Umber-(Greatjon),0.00221226286578937,2
Jon-Umber-(Smalljon),0.00045005757900267135,2
Jonos-Bracken,0.0004797806771958264,2
Jonothor-Darry,0.0006641367959912385,37
Jorah-Mormont,0.0038180483549010887,6
Joramun,0.00044728739681386734,9
Jory-Cassel,0.003021529533704529,0
Joseth,0.00044330396239361454,3
Josmyn-Peckledon,0.0004823211706730657,0
Justin-Massey,0.0010543811160206099,16
Jyck,0.0005502481184578069,103
Karyl-Vance,0.0007726098424433238,2
Kasporio,0.000642286667078522,0
Kedry,0.0005308407510336414,27
Kegs,0.0011507040922442244,9
Kella,0.00030390384001753525,0
Kerwin,0.0004098605049369922,15
Kevan-Lannister,0.002385784598392681,0
Khorane-Sathmantes,0.0006336339221214397,5
Khrazz,0.001013009916531635,6
Kindly-Man,0.0005644350886026587,11
Kojja-Mo,0.00045660639087808356,9
Koss,0.0004508278184743222,11
Kurleket,0.0003163926681133336,0
Kyra,0.000343464286782951,12
Lambert-Turnberry,0.0006271277062379837,1
Lamprey,0.0008227003880370103,5
Lancel-Lannister,0.0016653987783420245,0
Lark,0.001190662705798849,9
Leaf,0.00045691307566036484,3
Leathers,0.0009941472474297086,9
Lem,0.002389800036604026,11
Lemore,0.0011753931979824076,7
Leo-Lefford,0.0003163926681133336,0
Leo-Tyrell,0.0012194934138466584,10
Leobald-Tallhart,0.0006592139892783887,12
Leona-Woolfield,0.000490693601497084,5
Lewyn-Martell,0.0010867800741896424,37
Lollys-Stokeworth,0.001071645237216297,0
Lommy-Greenhands,0.0010386733710949663,11
Longwater-Pyke,0.0004098605049369922,15
Loras-Tyrell,0.003541740500150063,0
Lorent-Caswell,0.00031241485302906373,0
Lorren,0.0020550372849504005,43
Lothar-Frey,0.001691853293929153,2
Lothor-Brune,0.0008416096876575946,63
Lucas-Codd,0.0009858797242646574,106
Luton,0.0003891256627650251,107
Luwin,0.0031843447383349778,3
Lyanna-Mormont,0.00031880996492076853,5
Lyanna-Stark,0.0008151537557823593,0
Lyn-Corbray,0.0007622750434622631,63
Lyonel-Corbray,0.0004685699646361364,63
Lysa-Arryn,0.0033495437330186054,0
Mace-Tyrell,0.0030863353301171016,0
Maddy,0.0008998831427321013,63
Maege-Mormont,0.0008725715950758051,2
Maegor-I-Targaryen,0.001060332547848366,0
Maggy,0.0005170881167580672,67
Malaquo-Maegyr,0.0005185068823767012,101
Malegorn,0.0008321026079161221,49
Mallador-Locke,0.0003483258386259199,108
Mance-Rayder,0.004958555977421059,9
Mandon-Moore,0.0012450160529295159,0
Manfrey-Martell,0.0005285385539376478,34
Margaery-Tyrell,0.003993246864146188,0
Marillion,0.0013176482261653883,0
Marlon-Manderly,0.0004755345231662312,5
Marq-Piper,0.0012126523751247627,2
Marselen,0.0005919002206203621,71
Martyn-Lannister,0.0005162195384569705,104
Martyn-Rivers,0.00031574161929437893,2
Marwyn,0.0007299097421376653,10
Marya-Seaworth,0.0005156359031558724,23
Mathis-Rowan,0.0013529983509890492,0
Meera-Reed,0.0017682903055609449,3
Megga-Tyrell,0.000703626997325253,22
Meldred-Merlyn,0.000630131059026271,14
Melisandre,0.0035480829458771376,5
Mellei,0.0006103807274538663,33
Meribald,0.0009956013832314759,0
Meris,0.0013921142035606237,27
Merrett-Frey,0.000437320636067703,2
Meryn-Trant,0.002614722653202335,0
Mezzara,0.0005378782177878521,47
Mikken,0.000993568236828269,3
Miklaz,0.0009195004573244179,72
Mirri-Maz-Duur,0.0010400292105990706,6
Missandei,0.0014190855671221618,6
Moelle,0.0006671004478554239,66
Mollander,0.0010847550803907962,10
Monford-Velaryon,0.0008373792349908236,32
Moon-Boy,0.0006598417745998194,0
Moqorro,0.0011137990511583017,15
Mord,0.0003163926681133336,0
Mordane,0.0015444520112684512,0
Morgo,0.0003163926681133336,0
Morrec,0.000550248118457584,103
Mors-Umber,0.0008294627083755646,5
Mully,0.0014938606835727729,9
Munda,0.0003419871532728444,9
Murenmure,0.0005637348408722298,14
Mya-Stone,0.0009186536048785576,63
Mycah,0.0007915390465503414,0
Myranda-Royce,0.0005979915695602594,63
Myrcella-Baratheon,0.0031239837975798003,0
Nage,0.0003576181191577594,109
Nan,0.0013250101445023835,3
Narbert-Grandison,0.0012207293636579647,49
Nestor-Royce,0.001070557054937059,0
Nurse,0.0007675544450003519,0
Nute,0.0011051861689231838,15
Nymeria-Sand,0.0007748601267087261,30
Obara-Sand,0.0010790990678522109,30
Oberyn-Martell,0.0028339643911242185,0
Old-Bill-Bone,0.0003476655891423685,27
Olenna-Redwyne,0.0013045777792279787,0
Olyvar-Frey,0.0004506144812965324,2
Orell,0.0004846051648597013,9
Orton-Merryweather,0.0013567705310567589,0
Osfryd-Kettleblack,0.0005359971456460716,0
Osha,0.0014134383784343443,3
Osmund-Kettleblack,0.00234729433919793,0
Osney-Kettleblack,0.0015476990824457796,0
Oswell-Kettleblack,0.0004220481468619199,0
Othell-Yarwyck,0.0016422900632965243,9
Ottyn-Wythers,0.0007563294942558767,9
Owen,0.0015259677946580835,9
Palla,0.0004895695380872467,12
Patchface,0.0007304459541486224,5
Pate-(novice),0.0022241229803889218,24
Pate-(whipping-boy),0.0002993793505730134,0
Patrek-of-Kings-Mountain,0.0008126239601887125,9
Paxter-Redwyne,0.0009356230964002314,0
Penny,0.0012560593297458436,0
Perwyn-Frey,0.00048704404076479866,2
Petyr-Baelish,0.0065326852020016314,0
Petyr-Frey,0.0004499072656053933,2
Pia,0.0007705359382379376,0
Podrick-Payne,0.0019223520747119892,0
Polliver,0.0017571934669066808,0
Prendahl-na-Ghezn,0.0005624889132098218,70
Preston-Greenfield,0.00043350821869902805,0
Puckens,0.0007280671896146546,110
Pyat-Pree,0.0005374285423448527,6
Pycelle,0.0036985180313452875,0
Pyg,0.000761131673789148,56
Pylos,0.0010539971483951832,5
Pypar,0.0023336993407716035,9
Qarl-the-Maid,0.0008186462581997262,16
Qavo-Nogarys,0.0006079481722204614,0
Qhorin-Halfhand,0.002403882441234457,9
Qotho,0.001226659863825544,6
Quaro,0.000896830830922966,6
Quellon-Greyjoy,0.0006157069600486107,15
Quentyn-Martell,0.0035591108042816646,27
Quhuru-Mo,0.0005620531208900458,9
Qyburn,0.0025203536438281873,0
Rafford,0.0016468554948245292,0
Ralf-(Limper),0.0004098605049369922,15
Ralf-Stonehouse,0.0006447125658327556,15
Ramsay-Snow,0.003953436211772042,12
Randyll-Tarly,0.0020769511477612837,0
Rast,0.0010239486922917285,9
Rattleshirt,0.001809261537566492,9
Raymun-Darry,0.0004351994394053781,0
Raynald-Westerling,0.0006556989393399964,2
Raynard,0.000729132901823487,65
Renly-Baratheon,0.005542306347027672,0
Rennifer-Longwaters,0.0007495235431632199,99
Reznak-mo-Reznak,0.0008958668231602618,6
Rhaegar-Frey,0.0005764254718260327,13
Rhaegar-Targaryen,0.002709643135471543,6
Rhaella-Targaryen,0.0004440112366767514,6
Rhaenys-Targaryen,0.0006212402538111785,4
Richard-Horpe,0.0004980547546439157,16
Rickard-Karstark,0.0018110888427445644,2
Rickon-Stark,0.0024431153236131983,3
Robb-Stark,0.011082536717214389,2
Robert-Arryn,0.0032450968638601464,63
Robert-Baratheon,0.008780341692246526,0
Robett-Glover,0.0011778328719273977,0
Robin-Flint,0.0006213600004730911,2
Rodrik-Cassel,0.004419558254605803,3
Rodrik-Harlaw,0.0017745112691437837,42
Rodrik-Sparr,0.000599206343633529,15
Roger-Ryswell,0.000496416363078684,12
Rolly-Duckfield,0.0013076050054254891,7
Roose-Bolton,0.003960083910783846,0
Roose-Ryswell,0.00031880996492076853,5
Rorge,0.001449195416311358,11
Roslin-Frey,0.0008198874280208122,2
Rowan,0.000943025621554828,12
Ryk,0.0007779566804331484,9
Ryman-Frey,0.0019040874635647884,2
Salladhor-Saan,0.0009299964644445639,5
Samwell-Tarly,0.006974690202417589,9
Sandor-Clegane,0.004674272926500149,0
Sansa-Stark,0.01018779079071554,0
Sarella-Sand,0.0003470288404076964,113
Satin,0.0021351887114438154,9
Scar,0.0004902121433575628,0
Scolera,0.0006671004478557028,66
Selyse-Florent,0.003075396525862521,9
Shadd,0.00035974463252682237,114
Shae,0.0019241019247153287,0
Shagga,0.0016173943008795963,0
Shagwell,0.0010653357947777095,56
Sharna,0.0007378840552619279,11
Shireen-Baratheon,0.0021303641839755818,5
Shrouded-Lord,0.0003163926681133336,0
Sigorn,0.0007685597472790784,9
Simon-Toyne,0.0005595466236129155,116
Skinner,0.0011804908924059707,74
Sour-Alyn,0.0012605132880870817,74
Squint,0.0008046813682893177,43
Squirrel,0.000760029659448841,12
Stannis-Baratheon,0.013650270698770598,5
Stevron-Frey,0.0008558784032998125,2
Stonesnake,0.0008074977513098623,9
Stygg,0.0007771771273827337,50
Styr,0.0013938779620031815,9
Sweets,0.0006427336333977822,0
Sybell-Spicer,0.001183751827642527,5
Sylva-Santagar,0.0009419898929196448,30
Symon-Silver-Tongue,0.000572327682654363,0
Symond-Templeton,0.0009318162475320757,31
Syrio-Forel,0.000688599206078078,11
Taena-of-Myr,0.0016451876825908393,0
Talbert-Serry,0.0004098605049369922,15
Tanda-Stokeworth,0.001025161887907311,0
Tansy,0.0009492059298992424,2
Theomore,0.0004643367971159873,5
Theon-Greyjoy,0.01203700823290967,12
Thistle,0.00043051847449174,60
Timett,0.0007456964034485898,0
Tion-Frey,0.0003997038518149758,117
Tommen-Baratheon,0.004306971298893247,0
Toregg,0.0006526602024574262,9
Tormund,0.002709616627355081,9
Tybero-Istarion,0.0006422866670788021,0
Tyrion-Lannister,0.018364653836447763,0
Tywin-Lannister,0.00657970936332792,0
Vargo-Hoat,0.0015309302859596477,0
Victarion-Greyjoy,0.0062518106507558225,15
Walder-Frey-(son-of-Jammos),0.0006208488170209822,12
Walder-Frey-(son-of-Merrett),0.0013699226367500869,12
Waymar-Royce,0.0008410028020502316,51
Weasel,0.0007393832901326883,11
Woth,0.0008792306121201654,11
Yandry,0.0011753931979829593,7
Lyle-Crakehall,0.0008269586553537537,0
Varys,0.0044875877215755115,0
Walder-Frey,0.0028297078334063677,2
Torrhen-Stark,0.0004891505213921888,0
Visenya-Targaryen,0.0006212402538109598,4
Rhaenys-Targaryen-(daughter-of-Rhaegar),0.0003334130108316185,7
Viserys-Targaryen,0.002101871970220373,6
Ysilla,0.0010254042218174428,7
Daeron-II-Targaryen,0.00047666808467952416,9
Maekar-I-Targaryen,0.0003247676688786731,9
Wynton-Stout,0.0003247676688786731,9
Wyman-Manderly,0.0029105366439105894,5
Emmond,0.00040871276514568123,14
Gormond-Goodbrother,0.00040871276514568123,14
Greydon-Goodbrother,0.00040871276514568123,14
Rus,0.00040871276514568123,14
Denys-Darklyn,0.00033798009854343636,0
Elbert-Arryn,0.00033798009854343636,0
Owen-Merryweather,0.00033798009854343636,0
Rossart,0.00033798009854343636,0
Gelmarr,0.0005112410520338628,19
Rakharo,0.001568241161926173,6
Dancy,0.0003737176410638509,21
Hayhead,0.0004971536575987881,3
Roone,0.0010329957436183994,10
Tomard,0.001115862312992237,0
Elys-Waynwood,0.0005093530011205323,25
Harra,0.0005644350886026587,26
Tickler,0.0015169442196484835,0
Yoren,0.002674114782943794,11
Gerald-Gower,0.0004366399138403844,29
Tyene-Sand,0.0016791525460758373,30
Tom-of-Sevenstreams,0.0014241184243882056,11
Yohn-Royce,0.0013547078053913145,31
Tattered-Prince,0.0017881705801633218,27
Franklyn-Fowler,0.00035096891828622473,30
Morra,0.0006103807274541179,33
Ricasso,0.0008002266891332253,34
Timoth,0.00035096891828622473,30
Arthor-Karstark,0.0003796860786747523,35
Kraznys-mo-Nakloz,0.0004883551020040805,6
Mero,0.0009438313263205541,6
Smiling-Knight,0.0008731868530750719,38
Bellegere-Otherys,0.0003245501759467609,11
Brusco,0.0005486358627415292,40
Dobber,0.0003245501759467609,11
Mad-Huntsman,0.0003245501759467609,11
Meralyn,0.0003245501759467609,11
Pate-(Old),0.0003245501759467609,11
Praed,0.0003245501759467609,11
Ravella-Swann,0.0003245501759467609,11
Talea,0.0005486358627418786,40
Ternesio-Terys,0.0005644350886028907,11
Thoros-of-Myr,0.0013736706357332076,11
Umma,0.0003245501759467609,11
Vayon-Poole,0.0008107229598167418,0
Waif,0.0005644350886028907,11
Weese,0.0011672861076988165,11
Yorko-Terys,0.0003245501759467609,11
Red-Oarsman,0.0009921620591311568,41
Rolfe-the-Dwarf,0.0003673167212070587,16
Sybelle-Glover,0.0005856644327326637,43
Torgon-Greyiron,0.0003673167212070587,16
Tristifer-Botley,0.0008186462581994727,16
Tycho-Nestoris,0.0006393524921932973,9
Wex-Pyke,0.0011894564653502128,12
Porridge,0.0006637981272487942,5
Ygritte,0.0023628637374858196,9
Frenken,0.00042174488716435174,46
Larraq,0.000315289802484977,6
Skahaz-mo-Kandaq,0.0018560112832219269,6
Steelskin,0.0006312200201063869,6
Widower,0.000315289802484977,6
Xaro-Xhoan-Daxos,0.0006955973487820835,6
Spotted-Cat,0.001340563032170637,48
Oznak-zo-Pahl,0.00047379291170096327,6
Mariya-Darry,0.00043793631257417665,11
Tallad,0.0010338516087459546,1
Wick-Whittlestick,0.00045502520359780833,9
Hali,0.0003202724611401208,3
Howland-Reed,0.0004522098365907892,3
Poxy-Tym,0.0003202724611401208,3
Reek,0.00046637771244441653,12
Rickard-Stark,0.0004568097782701187,3
Stafford-Lannister,0.0007045219933530018,2
Stiv,0.00044757186937809714,3
Torghen-Flint,0.0005146599734353109,55
Clarence-Crabb,0.00032180339372014157,0
Illifer,0.0005434816420909454,57
Jeyne-Heddle,0.00032180339372014157,0
Narbert,0.0006851939007471919,0
Robar-Royce,0.0006250981450432923,0
Selwyn-Tarth,0.00032180339372014157,0
Timeon,0.0007448312227573728,56
Vyman,0.0005740059164176839,2
Walton,0.0009951524005983947,0
Willow-Heddle,0.00045939722212267735,0
Vardis-Egen,0.0009899568787517922,0
Willis-Wode,0.0009766327080317015,0
Varamyr,0.0017087736242522398,60
Lucifer-Long,0.000398939877052745,61
Donnel-Waynwood,0.00031525226228986,0
Masha-Heddle,0.00031525226228986,0
Moreo-Tumitis,0.00031525226228986,0
Mychel-Redfort,0.00031525226228986,0
Robin-Ryger,0.00044539233503130724,0
Tytos-Blackwood,0.0009482258435194985,2
Utherydes-Wayn,0.0005981069293250177,2
Wendel-Manderly,0.001410725823876846,2
Garth-Tyrell,0.0003055577616420969,0
Mark-Mullendore,0.0003055577616420969,0
Melara-Hetherspoon,0.0009954369652516249,67
Robert-Strong,0.0006744353321792605,0
Senelle,0.00041869975612592606,0
Unella,0.0008119100830819557,66
Vylarr,0.00043350821869902805,0
